APURCH,unique,age,gendf,gendm,pcode,atmcrd,paydep,BALCHQ,BALSAV,TOTDEP,BALLOAN,BALLOC,BALMRGG,NEWLOC,NEWMRGG,TXBRAN,TXATM,TXPOS,TXCHQ,TXWEB,TXTEL,TOTSERV,CH_NM_SERV,CH_NM_PRD,valsegm,N_IND_INC_,numrr_1,numcon_1,avginc_1,avginv_1
Y,6249,45,1,0,V7M2S4,1,1,4079.091667,,4978.505,753.74375,18.68666667,,0,0,3.25,6.833333333,13.75,1,2.833333333,0,3.8,-1,-1,D,450,350,1895,33104.44444,5233.333333
Y,6256,35,1,0,V7E1H9,1,1,8464.2875,,8560.0275,6691.565,0,122986.385,0,0,0.75,4.833333333,11.75,3.416666667,1.75,0,5,0,0,C,470,230,1186,34055.31915,2033.333333
Y,6257,59,0,1,V7A4N8,1,1,0,,273.9625,,12121.03833,199181.8975,0,0,13.83333333,16,25.58333333,7.25,0,0,4,0,0,B,760,340,1474,27196.05263,3123.728814
N,6263,39,0,1,V5B2X7,1,0,6.2975,0,995.695,,3.235,,0,0,0.25,0,0,0,0,0,4.3,-1,-2,D,860,430,1737,29447.67442,4665.384615
Y,6267,47,1,0,V1M1B5,1,1,0,,199.31,,7950.395833,95640.67667,0,0,0.416666667,5.75,18.08333333,7.416666667,0,0,4,0,0,B,13750,5740,27944,37751.63636,3879.678363
Y,6269,36,0,1,V5J3H6,1,0,0,197.5616667,252.4641667,,2356.365833,274039.63,0,0,19,16.5,11.83333333,2.25,0,0.166666667,5,0,0,A,260,120,616,32307.69231,3162.5
N,6271,46,0,1,V7N2V7,1,1,844.7866667,16.66666667,928.8608333,,,,0,0,2.833333333,35.75,94.25,3.833333333,4.166666667,0.083333333,3,0,1,D,420,210,1439,52307.14286,7742.424242
N,6278,30,0,1,V3T4L2,1,1,281.0633333,,398.0308333,,,103048.5583,0,0,8.833333333,0,0,0,0,0,3,0,1,B,720,250,915,24366.66667,2256.521739
N,6300,38,0,1,V5V3J8,1,0,1510.994167,,2094.054167,,16.0625,264676.1225,0,0,0.166666667,2.583333333,0,0,0,0,4,0,0,A,190,100,537,40784.21053,4108.333333
N,6301,21,0,1,V2Y2V7,1,1,120.5766667,0,171.4291667,,,,0,0,10.58333333,1.916666667,8,0,0,0,3,0,-1,E,410,150,524,30380.48781,0
Y,6302,52,0,1,V3C2Z7,1,0,0.5025,2085.1675,2295.805,,980.3875,,0,0,1,0,0,0.083333333,0,0,4,0,0,D,730,310,1411,32432.87671,1555.555556
N,6311,46,0,1,V5J2B3,1,0,141.1866667,,197.2441667,,,,0,0,0.166666667,0,0,0.166666667,0,0,2,0,0,D,630,240,1116,26457.14286,4302.380952
Y,6313,54,0,1,V3Y1Y3,1,0,0,,89.5175,,3987.685,146066.44,0,0,3.333333333,5.75,30.83333333,4.416666667,8.583333333,0,3,0,-1,B,7610,3030,12833,32986.72799,2277.022654
Y,6318,52,0,1,V3B2T3,1,0,1212.983333,1747.69,4638.166667,5049.985,5216.638333,82037.17167,0,0,6.833333333,11.5,36.58333333,0.75,3.75,0,6.3,-1,-2,C,490,220,962,36097.95918,2828
